timestamp,gpu_memory_used_mib
2026-09-21T13:59:35.7714985+08:00,374
2026-09-21T13:59:36.3258370+08:00,374
2026-09-21T13:59:36.8741726+08:00,374
2026-09-21T13:59:37.4196595+08:00,374
2026-09-21T13:59:37.9815550+08:00,374
2026-09-21T13:59:38.5255261+08:00,374
2026-09-21T13:59:39.0749936+08:00,374
2026-09-21T13:59:39.6190512+08:00,374
2026-09-21T13:59:40.1837487+08:00,374
2026-09-21T13:59:40.7471331+08:00,374
2026-09-21T13:59:41.2947439+08:00,374
2026-09-21T13:59:41.8399109+08:00,374
2026-09-21T13:59:42.3846890+08:00,374
2026-09-21T13:59:42.9189186+08:00,374
2026-09-21T13:59:43.4786346+08:00,374
2026-09-21T13:59:44.0438665+08:00,374
2026-09-21T13:59:44.5868200+08:00,374
2026-09-21T13:59:45.1490087+08:00,374
2026-09-21T13:59:45.6960161+08:00,374
2026-09-21T13:59:46.2767090+08:00,374
2026-09-21T13:59:46.8122736+08:00,374
2026-09-21T13:59:47.3640383+08:00,374
2026-09-21T13:59:47.9261439+08:00,374
2026-09-21T13:59:48.4685376+08:00,374
2026-09-21T13:59:49.0001180+08:00,374
2026-09-21T13:59:49.5472480+08:00,374
2026-09-21T13:59:50.1100964+08:00,374
2026-09-21T13:59:50.6556380+08:00,374
2026-09-21T13:59:51.2343152+08:00,374
2026-09-21T13:59:51.7806576+08:00,374
2026-09-21T13:59:52.3270925+08:00,374
2026-09-21T13:59:52.8728742+08:00,374
2026-09-21T13:59:53.4054792+08:00,374
2026-09-21T13:59:53.9536504+08:00,374
2026-09-21T13:59:54.5006408+08:00,374
2026-09-21T13:59:55.0622652+08:00,374
2026-09-21T13:59:55.6235017+08:00,374
2026-09-21T13:59:56.1743021+08:00,374
2026-09-21T13:59:56.7378017+08:00,374
2026-09-21T13:59:57.2878719+08:00,374
2026-09-21T13:59:57.8233177+08:00,374
2026-09-21T13:59:58.3572461+08:00,374
2026-09-21T13:59:58.9017310+08:00,374
2026-09-21T13:59:59.4526752+08:00,374
2026-09-21T14:00:00.0159406+08:00,374
2026-09-21T14:00:00.5630982+08:00,374
2026-09-21T14:00:01.1120476+08:00,374
2026-09-21T14:00:01.6759529+08:00,374
2026-09-21T14:00:02.2249813+08:00,374
2026-09-21T14:00:02.7595024+08:00,374
2026-09-21T14:00:03.3137927+08:00,374
2026-09-21T14:00:03.8492869+08:00,374
2026-09-21T14:00:04.3850315+08:00,374
2026-09-21T14:00:04.9326144+08:00,374
2026-09-21T14:00:05.4829329+08:00,374
2026-09-21T14:00:06.0331631+08:00,374
2026-09-21T14:00:06.5872098+08:00,374
2026-09-21T14:00:07.1524822+08:00,374
2026-09-21T14:00:07.6878041+08:00,374
2026-09-21T14:00:08.2663064+08:00,374
2026-09-21T14:00:08.8171719+08:00,374
